filename,text,label,start,end
bệnh_thủy_đậu_ở_người_lớn_gia_tăng-cảnh_báo_từ_các_ca_biến_chứng_nặng.txt,thủy đậu,DISEASE,207,215
bệnh_thủy_đậu_ở_người_lớn_gia_tăng-cảnh_báo_từ_các_ca_biến_chứng_nặng.txt,đau quặn bụng,SYMPTOM,415,429
bệnh_thủy_đậu_ở_người_lớn_gia_tăng-cảnh_báo_từ_các_ca_biến_chứng_nặng.txt,bí trung đại tiện kéo dài.,SYMPTOM,431,457
bệnh_thủy_đậu_ở_người_lớn_gia_tăng-cảnh_báo_từ_các_ca_biến_chứng_nặng.txt,các nốt thủy đậu bắt đầu bùng phát,SYMPTOM,489,524
bệnh_thủy_đậu_ở_người_lớn_gia_tăng-cảnh_báo_từ_các_ca_biến_chứng_nặng.txt,các nốt thủy đậu bắt đầu bùng phát,SYMPTOM,490,524
bệnh_thủy_đậu_ở_người_lớn_gia_tăng-cảnh_báo_từ_các_ca_biến_chứng_nặng.txt,ở vùng bụng,BODY_PART,524,536
bệnh_thủy_đậu_ở_người_lớn_gia_tăng-cảnh_báo_từ_các_ca_biến_chứng_nặng.txt,nhanh chóng lan ra,SYMPTOM,540,558
bệnh_thủy_đậu_ở_người_lớn_gia_tăng-cảnh_báo_từ_các_ca_biến_chứng_nặng.txt,toàn thân,BODY_PART,559,568
bệnh_thủy_đậu_ở_người_lớn_gia_tăng-cảnh_báo_từ_các_ca_biến_chứng_nặng.txt,bụng chướng,SYMPTOM,596,607
bệnh_thủy_đậu_ở_người_lớn_gia_tăng-cảnh_báo_từ_các_ca_biến_chứng_nặng.txt,bụng chướng,SYMPTOM,596,607
bệnh_thủy_đậu_ở_người_lớn_gia_tăng-cảnh_báo_từ_các_ca_biến_chứng_nặng.txt,đau dữ dội,SYMPTOM,608,619
bệnh_thủy_đậu_ở_người_lớn_gia_tăng-cảnh_báo_từ_các_ca_biến_chứng_nặng.txt,đau dữ dội,SYMPTOM,609,619
bệnh_thủy_đậu_ở_người_lớn_gia_tăng-cảnh_báo_từ_các_ca_biến_chứng_nặng.txt,dịch tiêu hóa rò rỉ liên tục qua dẫn lưu,SYMPTOM,621,661
bệnh_thủy_đậu_ở_người_lớn_gia_tăng-cảnh_báo_từ_các_ca_biến_chứng_nặng.txt,dịch tiêu hóa rò rỉ liên tục,SYMPTOM,621,649
bệnh_thủy_đậu_ở_người_lớn_gia_tăng-cảnh_báo_từ_các_ca_biến_chứng_nặng.txt,nhiễm trùng,SYMPTOM,677,688
bệnh_thủy_đậu_ở_người_lớn_gia_tăng-cảnh_báo_từ_các_ca_biến_chứng_nặng.txt,gây suy hô hấp,SYMPTOM,1407,1422
bệnh_thủy_đậu_ở_người_lớn_gia_tăng-cảnh_báo_từ_các_ca_biến_chứng_nặng.txt,suy gan cấp trên nền hội chứng thận hư nặng.,SYMPTOM,1424,1468
bệnh_thủy_đậu_ở_người_lớn_gia_tăng-cảnh_báo_từ_các_ca_biến_chứng_nặng.txt,nhiễm trùng huyết,SYMPTOM,3047,3064
bệnh_thủy_đậu_ở_người_lớn_gia_tăng-cảnh_báo_từ_các_ca_biến_chứng_nặng.txt,suy đa tạng,SYMPTOM,3068,3079
